,MAE_val,RMSE_val,Loss_val,RegLoss_val,epoch,MAE,RMSE,Loss,RegLoss
0,0.7556332349777222,0.905764102935791,2.1620585918426514,0.0,0,0.3193618059158325,0.4587480127811432,0.3267362713813782,0.0
1,0.8303155303001404,1.071349859237671,14.302918434143066,0.0,1,0.48201000690460205,0.6376072764396667,1.2765709161758423,0.0
2,0.7201778888702393,0.928019106388092,7.0892767906188965,0.0,2,0.7956545352935791,1.0358898639678955,5.094159126281738,0.0
3,4.203789710998535,5.441959857940674,228.22616577148438,0.0,3,1.1479909420013428,1.5023441314697266,11.956796646118164,0.0
4,0.926568329334259,1.2116130590438843,12.584834098815918,0.0,4,1.3104103803634644,1.7233572006225586,16.159744262695312,0.0
5,1.4566701650619507,1.9852805137634277,22.971006393432617,0.0,5,1.2707421779632568,1.6716374158859253,15.01400089263916,0.0
6,1.5059140920639038,1.7893226146697998,16.503276824951172,0.0,6,1.1783572435379028,1.5461385250091553,12.673480033874512,0.0
7,0.9566220045089722,1.2309305667877197,17.102359771728516,0.0,7,1.0381908416748047,1.3547769784927368,9.557045936584473,0.0
8,1.0559147596359253,1.3438879251480103,9.670239448547363,0.0,8,0.8803939819335938,1.1437859535217285,6.320972442626953,0.0
9,0.878714382648468,1.1311147212982178,7.628817081451416,0.0,9,0.719733476638794,0.9342554211616516,3.8662760257720947,0.0
10,0.6846510767936707,0.8792386651039124,3.9287800788879395,0.0,10,0.574969470500946,0.7501477599143982,2.1539618968963623,0.0
11,0.5207091569900513,0.6803906559944153,4.294311046600342,0.0,11,0.4628854990005493,0.6134366393089294,1.159138798713684,0.0
12,0.43271851539611816,0.5744367241859436,1.888447880744934,0.0,12,0.3750229477882385,0.5139210224151611,0.5175390839576721,0.0
13,0.4534236490726471,0.5752416849136353,0.8564057946205139,0.0,13,0.3104591369628906,0.4478456974029541,0.30144041776657104,0.0
14,0.4509133994579315,0.5678749084472656,0.7943412661552429,0.0,14,0.2642073333263397,0.4068151116371155,0.2154705673456192,0.0
